id;nombre;tipo;stock;precio;requiere_receta
1;3A OFTENO;Dermocosmetica;179;5.59;SI
2;3DT BIOTIC;Antibiotico;25;22.15;NO
3;3-GEL;Antibiotico;192;72.50;SI
4;5 FLUCEL 250;Antiinflamatorio;122;84.07;SI
5;A FOLIC;Antihistaminico;177;34.99;NO
6;AACHIZDOL FORTE;Antibiotico;36;61.68;NO
7;AASCARD;Antiinflamatorio;146;36.33;SI
8;AB BRONCOL NF 1200;Antimicotico;146;3.81;NO
9;AB BRONCOL NF 300;Antiinflamatorio;1;53.42;SI
10;AB BRONCOL NF 600;Dermocosmetica;247;91.09;SI
11;AB MOXIL 250;Antigripal;188;32.06;SI
12;ABACAVIR;Antigripal;38;36.82;SI
13;ABACAVIR SULFATO;Analgesico;55;39.41;NO
14;ABACAVIR SULFATO Y LAMIVUDINA;Antibiotico;242;41.38;NO
15;ABATIXENT;Vitaminas;117;17.24;NO
16;AB-BRONCOL 1000 NF;Antigripal;222;63.66;NO
17;AB-BRONCOL 250 NF;Broncodilatador;120;59.57;NO
18;AB-BRONCOL 500 NF;Antibiotico;74;23.23;SI
19;AB-BRONCOL NF 1200;Vitaminas;170;4.29;SI
20;ABEVMY 100;Antibiotico;79;67.46;NO
21;ABEVMY®400;Analgesico;116;99.66;NO
22;ABFLEXIL;Broncodilatador;201;20.36;SI
23;ABFLEXIL COMPOSITUM;Antihistaminico;112;54.52;NO
24;ABIPRO;Antiacido;202;63.22;SI
25;ABIRAGLOB 250;Antihistaminico;82;28.75;SI
26;ABIRAPROST;Antimicotico;247;31.42;NO
27;ABIRATERONA;Antiinflamatorio;237;46.73;NO
28;ABIRATRAL;Antiacido;222;3.85;NO
29;ABIRAVITAE;Antimicotico;185;66.74;SI
30;ABLNIVELAN;Analgesico;180;61.67;NO
31;ABRAXANE;Antigripal;116;52.40;NO
32;ABRYSVO®;Dermocosmetica;232;93.94;SI
33;ABUBRON BR;Vitaminas;121;82.45;NO
34;ABUFENE;Antigripal;33;33.89;NO
35;ABXEDA;Antiinflamatorio;196;9.58;SI
36;ACARIL;Antiacido;74;93.39;SI
37;ACARIL S;Dermocosmetica;143;52.73;SI
38;ACARIL S NF;Vitaminas;122;92.38;SI
39;ACCOPRIL 20;Antigripal;130;41.06;SI
40;ACECNOU 3G;Antihistaminico;223;71.01;SI
41;ACELIN;Antihistaminico;233;95.82;NO
42;ACEMUK;Broncodilatador;98;9.93;NO
43;ACEMUK 200;Vitaminas;222;10.50;NO
44;ACEMUK 600;Antimicotico;208;66.30;NO
45;ACEMUK L;Antibiotico;239;98.94;SI
46;ACETAK;Dermocosmetica;24;91.25;SI
47;ACETALITO;Antihistaminico;168;42.45;SI
48;ACETATO DE MEDROXIPROGESTERONA;Antiacido;20;36.25;SI
49;ACETAZOLAMIDA;Analgesico;160;4.44;SI
50;ACETILCISTEINA;Broncodilatador;235;61.44;SI
51;ACETÓNIDO DE TRIAMCINOLONA;Dermocosmetica;228;71.04;NO
52;ACETOSODIUM;Antibiotico;106;39.01;SI
53;ACEVIR;Dermocosmetica;155;32.82;SI
54;ACI BASIC;Antibiotico;52;80.80;SI
55;ACI BASIC UVA;Antigripal;232;32.03;SI
56;ACI TIP;Antihistaminico;181;39.45;NO
57;ACICLAV;Antihistaminico;56;35.51;SI
58;ACICLOVIR;Antigripal;193;56.92;NO
59;ACIDINO;Antiacido;2;27.13;SI
60;ACIDO ACETILSALICILICO;Antigripal;29;61.68;NO
61;ÁCIDO ACETILSALICÍLICO;Antibiotico;30;67.81;NO
62;ACIDO ALENDRONICO;Broncodilatador;210;71.34;NO
63;ACIDO FOLICO;Antigripal;161;63.48;SI
64;ACIDO FUSIDICO;Antigripal;62;49.65;NO
65;ACIDO TRANEXAMICO;Broncodilatador;219;87.10;SI
66;ÁCIDO TRANEXÁMICO;Antibiotico;148;95.47;SI
67;ACIDO ZOLEDRONICO;Antimicotico;84;60.44;NO
68;ACIDOR EXTRA RAPID;Analgesico;178;86.85;NO
69;ACIDPLUS;Antibiotico;55;68.68;NO
70;ACIMED® 500;Antimicotico;33;71.49;SI
71;ACINIL-P;Antiacido;15;46.95;SI
72;ACINIL-P-40;Antibiotico;99;11.52;SI
73;ACIPRAL;Antiinflamatorio;104;70.26;NO
74;ACI-TIP;Antihistaminico;82;86.26;NO
75;ACITRANESA;Antigripal;191;44.14;SI
76;ACITREXOL;Analgesico;43;63.01;SI
77;ACIVICLOR;Antigripal;39;16.89;NO
78;ACLASTA;Antimicotico;233;16.23;SI
79;ACLIXIN;Dermocosmetica;146;97.33;NO
80;ACNEBIOT;Antigripal;157;44.73;NO
81;ACNECLIN 100 AP;Antimicotico;126;92.77;NO
82;ACNOMEL;Antibiotico;30;90.14;NO
83;ACNOTIN;Antihistaminico;215;32.32;NO
84;ACNUPLAST;Antiinflamatorio;60;66.27;NO
85;ACOXX;Analgesico;173;73.08;SI
86;ACRIPTEGA;Antibiotico;121;50.35;NO
87;ACRYLARM;Antiacido;141;9.39;SI
88;ACTEMRA;Antigripal;161;42.88;NO
89;ACTERIL;Dermocosmetica;37;7.44;NO
90;ACTILYSE;Antimicotico;61;25.16;SI
91;ACTIVA 21;Antigripal;218;81.61;SI
92;ACTIVA 28;Broncodilatador;244;72.61;SI
93;ACTUALAX;Antiacido;87;85.11;NO
